id	character	modern_form	semantic_field	phonetic_root	tone	essence	examples	category			
V01	အ	အ	INHERENT_ACTION_BASE	NEUTRAL_VOWEL	level	ပင်ကိုသဘော၊ အခြေခံလုပ်ဆောင်ခြင်း	က	စ	တ	ပ	အခြေခံသရ
V02	ာ	အာ	CONTINUOUS_ACTION_EXPANSION	OPEN_VOWEL	level	ဆက်လက်လုပ်ဆောင်ခြင်း၊ ကျယ်ပြန့်ခြင်း	ကာ	စာ	တာ	ပါ	အခြေခံသရ
V03	ား	အား	EMPHATIC_CONTINUATION	EMPHATIC_OPEN	heavy	အားဖြင့်ဆက်လက်ခြင်း၊ ထောက်ပံ့ခြင်း	ကား	စား	တား	ပါး	အခြေခံသရ
V04	ိ	အိ	FOCUSED_CONTRACTION	CLOSE_FRONT_VOWEL	level	စုစည်းအာရုံစိုက်ခြင်း၊ သေးငယ်ခြင်း	ကိ	စိ	တိ	ပိ	အခြေခံသရ
V05	ီ့	အီ့	CONTRACTED_EMPHASIS	EMPHATIC_CLOSE_FRONT	creaky	စုစည်းအားဖြင့် အာရုံစိုက်ခြင်း	ကီ့	စီ့	တီ့	ပီ့	အခြေခံသရ
V06	ီ	အီ	SUSTAINED_CONTRACTION	LONG_CLOSE_FRONT	level	ရေရှည်စုစည်းခြင်း၊ တည်တံ့ခြင်း	ကီ	စီ	တီ	ပီ	အခြေခံသရ
V07	ီး	အီး	TERMINAL_CONTRACTION	TERMINAL_CLOSE_FRONT	heavy	အဆုံးသတ်စုစည်းခြင်း၊ ပြီးဆုံးခြင်း	ကီး	စီး	တီး	ပီး	အခြေခံသရ
V08	ု	အု	ROUNDED_ACTION_BASE	CLOSE_BACK_VOWEL	level	ဝိုင်းဝန်းသော လုပ်ဆောင်ခြင်း	ကု	စု	တု	ပု	အခြေခံသရ
V09	ူ့	အူ့	ROUNDED_EMPHASIS	EMPHATIC_CLOSE_BACK	creaky	အားဖြင့်ဝိုင်းဝန်းခြင်း	ကူ့	စူ့	တူ့	ပူ့	အခြေခံသရ
V10	ူ	အူ	SUSTAINED_ROUNDNESS	LONG_CLOSE_BACK	level	ရေရှည်ဝိုင်းဝန်းခြင်း	ကူ	စူ	တူ	ပူ	အခြေခံသရ
V11	ူး	အူး	TERMINAL_ROUNDNESS	TERMINAL_CLOSE_BACK	heavy	အဆုံးသတ်ဝိုင်းဝန်းခြင်း	ကူး	စူး	တူး	ပူး	အခြေခံသရ
V12	ေ	အေ	ILLUMINATED_ACTION_BASE	MID_FRONT_VOWEL	level	အလင်းရောင်သဖွယ် လုပ်ဆောင်ခြင်း	ကေ	စေ	တေ	ပေ	အခြေခံသရ
V13	ေ့	အေ့	ILLUMINATED_STOPPED	STOPPED_MID_FRONT	creaky	ရပ်တန့်သော အလင်းသဘော	ကေ့	စေ့	တေ့	ပေ့	အခြေခံသရ
V14	ေး	အေး	ILLUMINATED_EXTENSION	LENGTHENED_MID_FRONT	level	ဆန့်ကျယ်သော အလင်းသဘော	ကေး	စေး	တေး	ပေး	အခြေခံသရ
V15	ယ်	အယ်	GLIDING_TERMINATION	PALATAL_GLIDE_STOP	level	ချောမောစွာ အဆုံးသတ်ခြင်း	ကယ်	စယ်	တယ်	ပယ်	ဂီတသရ
V16	ယ့်	အိုင့်	GLIDING_EMPHATIC_STOP	EMPHATIC_PALATAL_GLIDE	creaky	အားဖြင့်ချောမောအဆုံးသတ်ခြင်း	ကယ့်	စယ့်	တယ့်	ပယ့်	ဂီတသရ
V17	ယ်း	အိုင်းး	GLIDING_TERMINAL_EXTENSION	TERMINAL_PALATAL_GLIDE	heavy	အဆုံးသတ်ချောမောဆန့်ကျယ်ခြင်း	ကယ်း	စယ်း	တယ်း	ပယ်း	ဂီတသရ
V18	ည်	အည်	PALATAL_RESONANT_TERMINATION	PALATAL_NASAL_GLIDE	level	အာခေါင်သံပဲ့တင် အဆုံးသတ်ခြင်း	ကည်	စည်	တည်	ပည်	ဂီတသရ
V19	ည့်	အည့်	PALATAL_RESONANT_EMPHASIS	EMPHATIC_PALATAL_NASAL	creaky	အားဖြင့်အာခေါင်သံပဲ့တင်ခြင်း	ကည့်	စည့်	တည့်	ပည့်	ဂီတသရ
V20	ည်း	အည်း	PALATAL_RESONANT_EXTENSION	TERMINAL_PALATAL_NASAL	heavy	အဆုံးသတ်အာခေါင်သံပဲ့တင်ခြင်း	ကည်း	စည်း	တည်း	ပည်း	ဂီတသရ
V21	ော်	အော်	ROUNDED_TERMINATION	ROUND_STOP	level	ဝိုင်းဝန်းစွာ အဆုံးသတ်ခြင်း	ကော်	စော်	တော်	ပော်	ဝိုင်းဝန်းသရ
V22	ောဝ်	အောဝ်	COMPOUND_ROUNDED_TERMINATION	COMPOUND_ROUND_STOP	level	ရှုပ်ထွေးဝိုင်းဝန်းအဆုံးသတ်ခြင်း	ကြောဝ်	ခြောဝ်			ဝိုင်းဝန်းသရ
V23	ော့	အော့	ROUNDED_STOPPED_ACTION	STOPPED_ROUND	creaky	ရပ်တန့်သော ဝိုင်းဝန်းမှု	ကော့	စော့	တော့	ပော့	ဝိုင်းဝန်းသရ
V24	ော	အော	OPEN_ROUNDNESS	OPEN_ROUND_VOWEL	level	ဖွင့်ထားသော ဝိုင်းဝန်းခြင်း	ကော	စော	တော	ပော	ဝိုင်းဝန်းသရ
V25	က်	အက်	VELAR_STOPPED_ACTION	VELAR_STOP	stopped	အာခေါင်နောက်ပိုင်းဖြင့် ရပ်တန့်ခြင်း	ခက်	ချက်	ငပ်	အုတ်	ဝိုင်းဝန်းသရ
V26	ိုက်	အိုက်	CONTRACTED_VELAR_STOP	CONTRACTED_VELAR_STOP	stopped	စုစည်းအာခေါင်နောက်ရပ်တန့်ခြင်း	ချိုက်	ငိုက်	ပိုက်		ဝိုင်းဝန်းသရ
