Type	Character	Phonetic_Code	Meaning_Essence_EN	Meaning_Essence_MM	T_Code
Consonant	က	ka	Root/Stand	မူလအခြေ၊အစပြုခြင်း	T001
Consonant	ခ	kha	Penetrate/Separate	ခွဲခြားခြင်း၊တိုက်ခိုက်ခြင်း	T003
Consonant	ဂ	ga	Gather/Join	စုဆောင်းခြင်း၊ပေါင်းခြင်း	T005
Consonant	ဃ	gha	Absorb/Hold	စုပ်ယူခြင်း၊ထိန်းသိမ်းခြင်း	T017
Consonant	င	nga	Contain/Silence	အတွင်းသို့သိမ်းခြင်း၊တိတ်ဆိတ်ခြင်း	T017
Consonant	စ	sa	Point/Arrange	စည်းမျဉ်းချခြင်း၊စနစ်တကျလုပ်ခြင်း	T017
Consonant	ဆ	sha	Refine/Clarify	သန့်စင်ခြင်း၊ရှင်းလင်းခြင်း	T009
Consonant	ဇ	za	Unite/Merge	ပေါင်းစည်းခြင်း၊ညီညွတ်ခြင်း	T005
Consonant	ဈ	zha	Illuminate/Inspire	ထင်ရှားခြင်း၊ဉာဏ်သွင်းခြင်း	T009
Consonant	ည	nya	Discipline/Collect	စည်းကမ်းရှိခြင်း၊စုစည်းခြင်း	T017
Consonant	ဋ	tta	Firm/Resist	တည်ကြည်ခြင်း၊တားဆီးခြင်း	T015
Consonant	ဌ	ttha	Direct/Extend	တိုးတက်ခြင်း၊ဦးတည်ခြင်း	T003
Consonant	ဍ	dda	Bind/Stabilize	ချည်နှောင်ခြင်း၊တည်မြဲခြင်း	T017
Consonant	ဎ	ddha	Press/Intensify	ဖိအားပေးခြင်း၊အားတိုးခြင်း	T003
Consonant	ဏ	nna	Preserve/Guard	ထိန်းသိမ်းခြင်း၊အားကောင်းခြင်း	T017
Consonant	တ	ta	Extend/Direct	တိုးတက်ခြင်း၊ဦးတည်ခြင်း	T003
Consonant	ထ	tha	Push/Initiate	အင်အားဖြင့်စတင်ခြင်း	T003
Consonant	ဒ	da	Connect/Support	ချိတ်ဆက်ခြင်း၊ထောက်ပံ့ခြင်း	T005
Consonant	ဓ	dha	Empower/Strengthen	အာဏာပေးခြင်း၊တန်ခိုးဖြည့်ခြင်း	T009
Consonant	န	na	Balance/Nurture	ညှိနှိုင်းခြင်း၊စောင့်ရှောက်ခြင်း	T017
Consonant	ပ	pa	Seal/Begin	အစပြုခြင်း၊အဆုံးသတ်ခြင်း	T001
Consonant	ဖ	pha	Flow/Breathe	လှုပ်ရှားခြင်း၊အသက်သွင်းခြင်း	T007
Consonant	ဗ	ba	Contain/Protect	ကာကွယ်ခြင်း၊စောင့်ရှောက်ခြင်း	T017
Consonant	ဘ	bha	Expand/Energize	ဖြန့်ချိခြင်း၊စွမ်းအင်ဖြည့်ခြင်း	T003
Consonant	မ	ma	Base/Essence	အခြေခံအဓိပ္ပါယ်၊မူလဓာတ်	T001
Consonant	ယ	ya	Scatter/Reverse	ပြောင်းလဲခြင်း၊ဖြန့်ခြင်း	T005
Consonant	ရ	ra	Flow/Bend	လှုပ်ရှားခြင်း၊ညှိနှိုင်းခြင်း	T005
Consonant	လ	la	Link/Plane	ချိတ်ဆက်ခြင်း၊လိုက်လျောခြင်း	T005
Consonant	ဝ	wa	Encompass/Spin	ပတ်ဝန်းကျင်ထဲထည့်ခြင်း	T009
Consonant	သ	tha	Breath/Transmit	သက်ဝင်ခြင်း၊တင်ဆောင်ခြင်း	T007
Consonant	ဟ	ha	Heat/Force	စွမ်းအင်၊အားအင်၊သွက်လက်မှု	T003
Consonant	ဠ	laa	Integrity/Solidity	တည်ကြည်ခြင်း၊စည်းလုံးမှု	T015
Consonant	အ	a	Exist/Be	တည်ရှိခြင်း၊ဖြစ်တည်ခြင်း	T001
Consonant	ကြ	kya	Create/Initiate	ဖန်တီးခြင်း၊စတင်ခြင်း	T003
Consonant	ကြွ	kywa	Move/Act	လှုပ်ရှားခြင်း၊အပြောင်းအလဲရှိခြင်း	T005
Consonant	ပြ	pyi	Generate/Arise	ဖြစ်ပေါ်လာခြင်း	T001
Consonant	ပြု	pyu	Build/Construct	တည်ဆောက်ခြင်း၊ဖန်တီးခြင်း	T003
Consonant	မြ	myi	Feel/Reflect	သိမြင်ခြင်း၊တွေးခေါ်ခြင်း	T009
Consonant	မြွ	mywa	Adapt/Transform	ညှိနှိုင်းပြောင်းလဲခြင်း	T005
Consonant	လျ	lyi	Guide/Connect	လမ်းပြခြင်း၊ချိတ်ဆက်ခြင်း	T009
Consonant	လျှ	lyha	Purify/Enlighten	သန့်စင်ခြင်း၊သတိပညာပေးခြင်း	T009
Consonant	သြ	aw	Call/Express	ခေါ်ဆိုခြင်း၊ဖော်ပြခြင်း	T007
Consonant	သြော်	awh	Invoke/Inspire	ဖိတ်ခေါ်ခြင်း၊သွေးဆောင်ခြင်း	T009
Vowel	အ	a	Foundation/Being	တည်မြဲခြင်း၊ဖြစ်တည်ခြင်း	-
Vowel	အာ	aa	Stability/Continuity	တည်ကြည်ခြင်း၊ဆက်လက်ခြင်း	-
Vowel	အိ	i	Sharpness/Focus	ထက်မြက်ခြင်း၊ဗဟုသုတတိုးခြင်း	-
Vowel	အီ	ii	InnerInsight	အတွင်းသို့ဝင်မြင်ခြင်း	-
Vowel	အု	u	Depth/Grounding	အနက်ရှိခြင်း၊အမြစ်တွယ်ခြင်း	-
